! Time     Wind    Wind    Vertical    Horiz.      Pwr.Law     Lin.Vert.   Gust     Upflow
!          Speed   Dir     Speed       Shear       Vert.Shr    Shear       Speed    Angle 
! (sec)    (m/s)   (Deg)   (m/s)                                            (m/s)   (deg)
0.00000  9.71101 -12.60368  0.60500  0.00000  0.10000  0.00000  0.00000  0.00000
0.01000  9.74037 -13.73093  0.62600  0.00000  0.10000  0.00000  0.00000  0.00000
0.02000  9.69340 -13.05133  0.25700  0.00000  0.10000  0.00000  0.00000  0.00000
0.03000  9.73400 -10.59652  0.55200  0.00000  0.10000  0.00000  0.00000  0.00000
0.04000  9.65962 -10.84808  1.12200  0.00000  0.10000  0.00000  0.00000  0.00000
0.05000  9.83362 -12.10411  1.08800  0.00000  0.10000  0.00000  0.00000  0.00000
0.06000  9.99006 -14.45080  1.53999  0.00000  0.10000  0.00000  0.00000  0.00000
0.07000  9.67676 -13.81079  0.96300  0.00000  0.10000  0.00000  0.00000  0.00000
0.08000  9.79300 -13.53530  1.24302  0.00000  0.10000  0.00000  0.00000  0.00000
0.09000  9.39388 -13.32480  1.30101  0.00000  0.10000  0.00000  0.00000  0.00000
0.10000  9.76225 -12.19398  0.91401  0.00000  0.10000  0.00000  0.00000  0.00000
0.11000  9.93307 -10.42873  1.12397  0.00000  0.10000  0.00000  0.00000  0.00000
0.12000  9.68365 -10.48375  1.12902  0.00000  0.10000  0.00000  0.00000  0.00000
0.13000  9.89458 -9.84025  0.59697  0.00000  0.10000  0.00000  0.00000  0.00000
0.14000  10.46560 -9.89259  0.89899  0.00000  0.10000  0.00000  0.00000  0.00000
0.15000  10.58111 -12.58221  1.14101  0.00000  0.10000  0.00000  0.00000  0.00000
0.16000  10.70208 -13.69075  1.07399  0.00000  0.10000  0.00000  0.00000  0.00000
0.17000  10.78766 -11.52884  1.35401  0.00000  0.10000  0.00000  0.00000  0.00000
0.18000  10.49013 -11.86596  1.50496  0.00000  0.10000  0.00000  0.00000  0.00000
0.19000  10.09773 -9.40451  1.62600  0.00000  0.10000  0.00000  0.00000  0.00000
0.20000  10.43232 -10.33727  1.65498  0.00000  0.10000  0.00000  0.00000  0.00000
0.21000  10.73967 -11.76604  2.02199  0.00000  0.10000  0.00000  0.00000  0.00000
0.22000  10.44889 -12.58127  1.83598  0.00000  0.10000  0.00000  0.00000  0.00000
0.23000  10.38517 -14.08320  2.39899  0.00000  0.10000  0.00000  0.00000  0.00000
0.24000  10.19208 -12.61563  2.41997  0.00000  0.10000  0.00000  0.00000  0.00000
0.25000  10.69813 -10.81850  1.91905  0.00000  0.10000  0.00000  0.00000  0.00000
0.26000  10.22767 -10.93416  1.98404  0.00000  0.10000  0.00000  0.00000  0.00000
0.27000  10.34090 -10.88067  1.93301  0.00000  0.10000  0.00000  0.00000  0.00000
0.28000  10.63505 -10.37929  2.08596  0.00000  0.10000  0.00000  0.00000  0.00000
0.29000  10.55060 -13.14852  2.08007  0.00000  0.10000  0.00000  0.00000  0.00000
0.30000  10.88121 -13.44517  1.61202  0.00000  0.10000  0.00000  0.00000  0.00000
0.31000  11.03294 -13.02718  1.67306  0.00000  0.10000  0.00000  0.00000  0.00000
0.32000  11.15623 -13.25527  1.49901  0.00000  0.10000  0.00000  0.00000  0.00000
0.33000  11.06234 -15.97757  1.22405  0.00000  0.10000  0.00000  0.00000  0.00000
0.34000  11.14540 -15.95651  1.11900  0.00000  0.10000  0.00000  0.00000  0.00000
0.35000  11.21668 -12.75262  1.00197  0.00000  0.10000  0.00000  0.00000  0.00000
0.36000  11.26366 -14.87767  1.10600  0.00000  0.10000  0.00000  0.00000  0.00000
0.37000  11.38241 -13.21506  1.01001  0.00000  0.10000  0.00000  0.00000  0.00000
0.38000  11.52849 -12.95737  0.87901  0.00000  0.10000  0.00000  0.00000  0.00000
0.39000  11.42610 -12.41233  1.31395  0.00000  0.10000  0.00000  0.00000  0.00000
0.40000  11.35258 -12.85571  1.39602  0.00000  0.10000  0.00000  0.00000  0.00000
0.41000  11.54853 -12.99022  1.54206  0.00000  0.10000  0.00000  0.00000  0.00000
0.42000  11.46790 -12.19772  1.18897  0.00000  0.10000  0.00000  0.00000  0.00000
0.43000  11.43950 -13.86899  1.37796  0.00000  0.10000  0.00000  0.00000  0.00000
0.44000  11.26381 -13.68553  1.57204  0.00000  0.10000  0.00000  0.00000  0.00000
0.45000  10.81131 -12.83685  1.12497  0.00000  0.10000  0.00000  0.00000  0.00000
0.46000  11.24070 -13.43652  0.84194  0.00000  0.10000  0.00000  0.00000  0.00000
0.47000  11.31933 -12.59348  0.89793  0.00000  0.10000  0.00000  0.00000  0.00000
